"INSTANCE","WEIGHT","PROFIT","CORRELATION","DEF","MAXP","MAXPW","MINW","MARK","BEST","ORACLE"
"GA-MaxProfitPerWeight_50_094.kp",0.481,0.523,0.626,503,621,1257,644,575,"MAXPW",1257
"GA-MaxProfitPerWeight_50_095.kp",0.474,0.546,0.578,482,632,1413,718,462,"MAXPW",1413
"GA-MaxProfitPerWeight_50_096.kp",0.471,0.535,0.622,303,721,1371,798,582,"MAXPW",1371
"GA-MaxProfitPerWeight_50_097.kp",0.444,0.588,0.558,512,882,1617,947,502,"MAXPW",1617
"GA-MaxProfitPerWeight_50_098.kp",0.479,0.53,0.65,485,565,NA,642,503,"MINW",642
"GA-MaxProfitPerWeight_50_099.kp",0.388,0.501,0.61,479,NA,1457,893,435,"MAXPW",1457
"GA-MaxProfit_50_000.kp",0.62,0.428,0.409,247,851,799,665,522,"MAXP",851
"GA-MaxProfit_50_001.kp",0.566,0.493,0.425,663,1261,1210,1084,NA,"MAXP",1261
"GA-MaxProfit_50_002.kp",0.598,0.529,0.412,375,NA,1041,800,431,"MAXPW",1041
"GA-MaxProfit_50_003.kp",0.608,0.406,0.423,431,NA,1001,780,518,"MAXPW",1001
"GA-MaxProfit_50_004.kp",0.576,0.453,0.478,352,1051,1009,715,385,"MAXP",1051
"GA-MaxProfit_50_005.kp",0.577,0.514,0.356,451,1505,1465,1389,402,"MAXP",1505
"GA-MaxProfit_50_006.kp",0.616,0.451,0.395,305,1077,1041,857,442,"MAXP",1077
"GA-MaxProfit_50_007.kp",0.573,0.364,0.578,170,NA,762,481,409,"MAXPW",762
"GA-MaxProfit_50_008.kp",0.574,0.365,0.449,273,960,927,771,410,"MAXP",960
"GA-MaxProfit_50_009.kp",0.549,0.513,0.54,NA,1185,1158,939,432,"MAXP",1185
"GA-MaxProfit_50_010.kp",0.532,0.462,0.322,581,1514,NA,1449,490,"MAXP",1514
"GA-MaxProfit_50_011.kp",0.605,0.485,0.512,266,782,752,NA,439,"MAXP",782
"GA-MaxProfit_50_012.kp",0.652,0.501,0.449,528,939,913,644,NA,"MAXP",939
"GA-MaxProfit_50_013.kp",0.667,0.455,0.292,246,1050,995,820,422,"MAXP",1050
"GA-MaxProfit_50_014.kp",0.586,0.474,0.483,307,1143,1080,965,443,"MAXP",1143
"GA-MaxProfit_50_015.kp",0.644,0.507,0.536,NA,980,947,765,419,"MAXP",980
"GA-MaxProfit_50_016.kp",0.605,0.428,0.355,496,955,NA,798,570,"MAXP",955
"GA-MaxProfit_50_017.kp",0.6,0.512,0.449,NA,958,935,790,457,"MAXP",958
"GA-MaxProfit_50_018.kp",0.497,0.485,0.43,456,1542,1492,1210,547,"MAXP",1542
"GA-MaxProfit_50_019.kp",0.6,0.434,0.397,211,1188,1158,1068,406,"MAXP",1188
"GA-MaxProfit_50_020.kp",0.594,0.52,0.325,NA,1180,1142,1005,405,"MAXP",1180
"GA-MaxProfit_50_021.kp",0.575,0.448,0.375,293,988,952,808,569,"MAXP",988
"GA-MaxProfit_50_022.kp",0.654,0.441,0.517,472,835,798,570,440,"MAXP",835
"GA-MaxProfit_50_023.kp",0.589,0.499,0.429,NA,1143,1095,844,406,"MAXP",1143
"GA-MaxProfit_50_024.kp",0.556,0.496,0.376,468,1327,1297,1166,417,"MAXP",1327
"GA-MaxProfit_50_025.kp",0.613,0.391,0.4,283,937,861,796,391,"MAXP",937
"GA-MaxProfit_50_026.kp",0.565,0.463,0.544,291,835,805,451,563,"MAXP",835
"GA-MaxProfit_50_027.kp",0.656,0.447,0.456,172,908,856,656,NA,"MAXP",908
"GA-MaxProfit_50_028.kp",0.544,0.367,0.448,459,1088,1036,925,515,"MAXP",1088
"GA-MaxProfit_50_029.kp",0.52,0.472,0.539,404,1188,1155,855,513,"MAXP",1188
"GA-MaxProfit_50_030.kp",0.636,0.462,0.535,581,795,736,NA,552,"MAXP",795
"GA-MaxProfit_50_031.kp",0.605,0.479,0.291,566,1216,1165,NA,535,"MAXP",1216
"GA-MaxProfit_50_032.kp",0.606,0.519,0.356,NA,1240,1201,1048,522,"MAXP",1240
"GA-MaxProfit_50_033.kp",0.598,0.524,0.443,438,1105,1049,945,596,"MAXP",1105
"GA-MaxProfit_50_034.kp",0.589,0.432,0.484,321,1055,1013,734,602,"MAXP",1055
"GA-MaxProfit_50_035.kp",0.486,0.5,0.446,548,1406,1364,1202,433,"MAXP",1406
"GA-MaxProfit_50_036.kp",0.506,0.467,0.398,827,1408,1351,1164,NA,"MAXP",1408
"GA-MaxProfit_50_037.kp",0.525,0.471,0.513,456,NA,1160,987,494,"MAXPW",1160
"GA-MaxProfit_50_038.kp",0.547,0.434,0.507,NA,1007,976,514,475,"MAXP",1007
"GA-MaxProfit_50_039.kp",0.654,0.471,0.474,393,795,NA,605,445,"MAXP",795
"GA-MaxProfit_50_040.kp",0.573,0.431,0.48,287,1177,1128,943,430,"MAXP",1177
"GA-MaxProfit_50_041.kp",0.581,0.38,0.337,560,1185,1147,922,499,"MAXP",1185
"GA-MaxProfit_50_042.kp",0.608,0.464,0.557,548,963,934,763,479,"MAXP",963
"GA-MaxProfit_50_043.kp",0.516,0.474,0.489,725,1279,NA,1051,519,"MAXP",1279
"GA-MaxProfit_50_044.kp",0.634,0.542,0.539,NA,1037,990,777,459,"MAXP",1037
"GA-MaxProfit_50_045.kp",0.589,0.438,0.489,302,931,880,689,462,"MAXP",931
"GA-MaxProfit_50_046.kp",0.624,0.481,0.343,564,1092,1049,955,440,"MAXP",1092
"GA-MaxProfit_50_047.kp",0.588,0.478,0.415,388,1108,1081,710,538,"MAXP",1108
"GA-MaxProfit_50_048.kp",0.545,0.434,0.424,456,1232,1180,961,NA,"MAXP",1232
"GA-MaxProfit_50_049.kp",0.59,0.506,0.402,225,1206,1159,1159,434,"MAXP",1206
"GA-MaxProfit_50_050.kp",0.626,0.522,0.364,615,1235,1198,1008,NA,"MAXP",1235
"GA-MaxProfit_50_051.kp",0.506,0.444,0.57,NA,1191,1153,817,451,"MAXP",1191
"GA-MaxProfit_50_052.kp",0.559,0.43,0.415,409,1140,1114,926,553,"MAXP",1140
"GA-MaxProfit_50_053.kp",0.536,0.484,0.444,427,1150,1121,843,521,"MAXP",1150
"GA-MaxProfit_50_054.kp",0.565,0.395,0.439,438,1059,1007,692,478,"MAXP",1059
"GA-MaxProfit_50_055.kp",0.674,0.524,0.517,321,879,839,652,399,"MAXP",879
"GA-MaxProfit_50_056.kp",0.579,0.424,0.409,287,1178,1132,1047,484,"MAXP",1178
"GA-MaxProfit_50_057.kp",0.708,0.455,0.27,341,898,841,774,558,"MAXP",898
"GA-MaxProfit_50_058.kp",0.62,0.452,0.479,279,985,956,575,NA,"MAXP",985
"GA-MaxProfit_50_059.kp",0.581,0.415,0.398,514,1012,968,NA,417,"MAXP",1012
"GA-MaxProfit_50_060.kp",0.5,0.426,0.478,410,1185,NA,924,621,"MAXP",1185
"GA-MaxProfit_50_061.kp",0.59,0.521,0.471,470,1147,NA,1008,438,"MAXP",1147
"GA-MaxProfit_50_062.kp",0.564,0.457,0.449,512,1004,972,687,513,"MAXP",1004
"GA-MaxProfit_50_063.kp",0.614,0.479,0.468,377,911,873,734,406,"MAXP",911
"GA-MaxProfit_50_064.kp",0.615,0.455,0.608,NA,911,880,609,526,"MAXP",911
"GA-MaxProfit_50_065.kp",0.562,0.453,0.513,311,NA,980,445,393,"MAXPW",980
"GA-MaxProfit_50_066.kp",0.576,0.444,0.337,557,1157,1090,990,NA,"MAXP",1157
"GA-MaxProfit_50_067.kp",0.605,0.43,0.316,559,1078,1026,NA,619,"MAXP",1078
"GA-MaxProfit_50_068.kp",0.532,0.408,0.371,417,1196,1157,829,652,"MAXP",1196
"GA-MaxProfit_50_069.kp",0.634,0.416,0.374,469,849,808,NA,365,"MAXP",849
"GA-MaxProfit_50_070.kp",0.591,0.429,0.423,645,NA,988,790,522,"MAXPW",988
"GA-MaxProfit_50_071.kp",0.604,0.445,0.435,354,NA,938,768,417,"MAXPW",938
"GA-MaxProfit_50_072.kp",0.565,0.498,0.396,550,1327,1272,1063,388,"MAXP",1327
"GA-MaxProfit_50_073.kp",0.646,0.438,0.502,333,NA,873,720,465,"MAXPW",873
"GA-MaxProfit_50_074.kp",0.608,0.5,0.317,417,1061,1011,875,586,"MAXP",1061
"GA-MaxProfit_50_075.kp",0.586,0.425,0.411,491,NA,916,851,549,"MAXPW",916
"GA-MaxProfit_50_076.kp",0.601,0.488,0.279,572,1316,1260,1260,515,"MAXP",1316
"GA-MaxProfit_50_077.kp",0.61,0.517,0.427,495,1009,971,908,469,"MAXP",1009
"GA-MaxProfit_50_078.kp",0.549,0.502,0.302,289,1376,1321,NA,369,"MAXP",1376
"GA-MaxProfit_50_079.kp",0.569,0.419,0.494,NA,1075,1042,775,553,"MAXP",1075
"GA-MaxProfit_50_080.kp",0.608,0.467,0.576,175,840,819,630,440,"MAXP",840
"GA-MaxProfit_50_081.kp",0.63,0.452,0.411,337,976,950,780,425,"MAXP",976
"GA-MaxProfit_50_082.kp",0.585,0.358,0.426,214,888,856,593,507,"MAXP",888
"GA-MaxProfit_50_083.kp",0.51,0.448,0.359,461,1378,1336,NA,368,"MAXP",1378
"GA-MaxProfit_50_084.kp",0.596,0.49,0.516,431,903,870,738,464,"MAXP",903
"GA-MaxProfit_50_085.kp",0.564,0.493,0.396,312,1269,1242,1169,NA,"MAXP",1269
"GA-MaxProfit_50_086.kp",0.537,0.428,0.33,329,1222,1193,935,520,"MAXP",1222
"GA-MaxProfit_50_087.kp",0.56,0.395,0.305,628,NA,1140,964,371,"MAXPW",1140
"GA-MaxProfit_50_088.kp",0.555,0.514,0.506,487,1010,970,NA,374,"MAXP",1010
"GA-MaxProfit_50_089.kp",0.571,0.453,0.427,500,1194,1161,921,510,"MAXP",1194
"GA-MaxProfit_50_090.kp",0.586,0.377,0.438,186,911,860,NA,553,"MAXP",911
"GA-MaxProfit_50_091.kp",0.618,0.512,0.404,NA,1152,1097,1030,423,"MAXP",1152
"GA-MaxProfit_50_092.kp",0.591,0.432,0.333,426,1149,1098,NA,391,"MAXP",1149
"GA-MaxProfit_50_093.kp",0.517,0.542,0.27,488,1274,1256,1244,605,"MAXP",1274
"GA-MaxProfit_50_094.kp",0.615,0.496,0.359,477,1053,1010,958,517,"MAXP",1053
"GA-MaxProfit_50_095.kp",0.556,0.505,0.41,544,1172,1123,1076,397,"MAXP",1172
"GA-MaxProfit_50_096.kp",0.62,0.383,0.525,296,793,NA,616,513,"MAXP",793
"GA-MaxProfit_50_097.kp",0.542,0.471,0.424,196,1142,1110,NA,488,"MAXP",1142
"GA-MaxProfit_50_098.kp",0.515,0.478,0.446,190,1175,1138,979,364,"MAXP",1175
"GA-MaxProfit_50_099.kp",0.59,0.452,0.432,NA,1211,1147,1082,417,"MAXP",1211
"GA-MinWeight_50_000.kp",0.57,0.578,0.357,504,1086,1399,1457,NA,"MINW",1457
"GA-MinWeight_50_001.kp",0.535,0.568,0.512,561,930,1239,1284,451,"MINW",1284
"GA-MinWeight_50_002.kp",0.56,0.534,0.362,666,1187,1389,1460,NA,"MINW",1460
"GA-MinWeight_50_003.kp",0.532,0.599,0.406,647,1133,1382,1439,421,"MINW",1439
"GA-MinWeight_50_004.kp",0.568,0.671,0.382,NA,856,1402,1464,447,"MINW",1464
"GA-MinWeight_50_005.kp",0.604,0.542,0.333,644,825,1219,1300,NA,"MINW",1300
"GA-MinWeight_50_006.kp",0.635,0.586,0.483,607,871,1064,1105,439,"MINW",1105
"GA-MinWeight_50_007.kp",0.544,0.634,0.378,652,851,1348,1425,NA,"MINW",1425
"GA-MinWeight_50_008.kp",0.59,0.563,0.409,576,976,1175,1250,568,"MINW",1250
"GA-MinWeight_50_009.kp",0.541,0.609,0.515,697,658,NA,1232,447,"MINW",1232
"GA-MinWeight_50_010.kp",0.58,0.501,0.44,488,783,1095,1157,567,"MINW",1157
"GA-MinWeight_50_011.kp",0.593,0.589,0.307,297,987,1271,NA,422,"MAXPW",1271
"GA-MinWeight_50_012.kp",0.641,0.576,0.376,469,NA,1227,1281,515,"MINW",1281
"GA-MinWeight_50_013.kp",0.573,0.557,0.37,474,944,1343,1392,NA,"MINW",1392
"GA-MinWeight_50_014.kp",0.53,0.542,0.491,417,685,1159,1187,547,"MINW",1187
"GA-MinWeight_50_015.kp",0.527,0.579,0.368,443,1024,1381,1461,465,"MINW",1461
"GA-MinWeight_50_016.kp",0.554,0.637,0.435,NA,818,1388,1430,618,"MINW",1430
"GA-MinWeight_50_017.kp",0.583,0.554,0.429,422,696,1121,1174,449,"MINW",1174
"GA-MinWeight_50_018.kp",0.571,0.571,0.509,579,859,NA,1155,456,"MINW",1155
"GA-MinWeight_50_019.kp",0.51,0.55,0.353,675,1043,1555,1616,564,"MINW",1616
"GA-MinWeight_50_020.kp",0.566,0.553,0.326,427,617,NA,1520,477,"MINW",1520
"GA-MinWeight_50_021.kp",0.486,0.588,0.39,365,1066,NA,1629,544,"MINW",1629
"GA-MinWeight_50_022.kp",0.451,0.633,0.555,534,808,1516,1564,499,"MINW",1564
"GA-MinWeight_50_023.kp",0.56,0.585,0.453,557,965,1205,1231,470,"MINW",1231
"GA-MinWeight_50_024.kp",0.504,0.529,0.385,583,603,1326,1361,NA,"MINW",1361
"GA-MinWeight_50_025.kp",0.547,0.582,0.471,451,672,1187,1251,NA,"MINW",1251
"GA-MinWeight_50_026.kp",0.627,0.679,0.502,178,634,1112,1177,621,"MINW",1177
"GA-MinWeight_50_027.kp",0.574,0.577,0.541,619,715,1192,1241,NA,"MINW",1241
"GA-MinWeight_50_028.kp",0.551,0.506,0.436,414,704,1105,1152,481,"MINW",1152
"GA-MinWeight_50_029.kp",0.455,0.584,0.367,667,932,1696,1725,463,"MINW",1725
"GA-MinWeight_50_030.kp",0.561,0.598,0.389,NA,745,1388,1466,615,"MINW",1466
"GA-MinWeight_50_031.kp",0.621,0.573,0.378,426,NA,1016,1061,485,"MINW",1061
"GA-MinWeight_50_032.kp",0.502,0.564,0.433,608,1113,NA,1465,420,"MINW",1465
"GA-MinWeight_50_033.kp",0.61,0.557,0.37,581,724,1032,1074,NA,"MINW",1074
"GA-MinWeight_50_034.kp",0.601,0.573,0.499,570,504,1119,NA,608,"MAXPW",1119
"GA-MinWeight_50_035.kp",0.579,0.613,0.318,419,NA,1311,1383,437,"MINW",1383
"GA-MinWeight_50_036.kp",0.532,0.591,0.241,782,1498,1582,NA,517,"MAXPW",1582
"GA-MinWeight_50_037.kp",0.536,0.643,0.47,843,935,1446,1494,445,"MINW",1494
"GA-MinWeight_50_038.kp",0.552,0.513,0.424,477,584,1026,NA,461,"MAXPW",1026
"GA-MinWeight_50_039.kp",0.59,0.549,0.442,694,489,1186,1213,435,"MINW",1213
"GA-MinWeight_50_040.kp",0.625,0.532,0.491,622,713,955,1005,587,"MINW",1005
"GA-MinWeight_50_041.kp",0.619,0.619,0.456,NA,590,1157,1200,455,"MINW",1200
"GA-MinWeight_50_042.kp",0.589,0.548,0.522,673,700,1046,NA,487,"MAXPW",1046
"GA-MinWeight_50_043.kp",0.504,0.628,0.343,585,1057,NA,1684,462,"MINW",1684
"GA-MinWeight_50_044.kp",0.519,0.493,0.323,216,1000,1478,1525,NA,"MINW",1525
"GA-MinWeight_50_045.kp",0.527,0.578,0.341,688,1009,1353,1397,570,"MINW",1397
"GA-MinWeight_50_046.kp",0.61,0.597,0.42,434,NA,1170,1227,418,"MINW",1227
"GA-MinWeight_50_047.kp",0.588,0.524,0.436,NA,782,1052,1105,427,"MINW",1105
"GA-MinWeight_50_048.kp",0.61,0.579,0.562,429,616,1099,1149,482,"MINW",1149
"GA-MinWeight_50_049.kp",0.525,0.535,0.319,516,1004,NA,1372,369,"MINW",1372
"GA-MinWeight_50_050.kp",0.547,0.599,0.394,709,941,1525,NA,489,"MAXPW",1525
"GA-MinWeight_50_051.kp",0.598,0.563,0.297,509,1026,1231,1304,NA,"MINW",1304
"GA-MinWeight_50_052.kp",0.544,0.603,0.457,533,863,1381,1416,490,"MINW",1416
"GA-MinWeight_50_053.kp",0.576,0.622,0.383,488,829,1259,1310,NA,"MINW",1310
"GA-MinWeight_50_054.kp",0.485,0.63,0.545,685,831,1485,1539,558,"MINW",1539
"GA-MinWeight_50_055.kp",0.531,0.576,0.373,737,846,1411,1439,467,"MINW",1439
"GA-MinWeight_50_056.kp",0.55,0.553,0.298,NA,968,1389,1452,564,"MINW",1452
"GA-MinWeight_50_057.kp",0.525,0.563,0.385,590,907,1342,1393,NA,"MINW",1393
"GA-MinWeight_50_058.kp",0.588,0.544,0.432,NA,533,1087,1139,509,"MINW",1139
"GA-MinWeight_50_059.kp",0.504,0.61,0.244,593,1202,1616,1667,474,"MINW",1667
"GA-MinWeight_50_060.kp",0.519,0.549,0.329,701,1106,1327,1389,532,"MINW",1389
"GA-MinWeight_50_061.kp",0.594,0.532,0.41,634,596,1200,1246,487,"MINW",1246
"GA-MinWeight_50_062.kp",0.539,0.601,0.533,708,864,NA,1174,459,"MINW",1174
"GA-MinWeight_50_063.kp",0.479,0.632,0.301,617,1538,1770,1827,424,"MINW",1827
"GA-MinWeight_50_064.kp",0.527,0.534,0.419,539,NA,1299,1356,422,"MINW",1356
"GA-MinWeight_50_065.kp",0.581,0.628,0.508,433,861,1108,1161,484,"MINW",1161
"GA-MinWeight_50_066.kp",0.535,0.511,0.426,155,NA,1262,1289,467,"MINW",1289
"GA-MinWeight_50_067.kp",0.522,0.52,0.432,NA,771,1269,1318,395,"MINW",1318
"GA-MinWeight_50_068.kp",0.547,0.646,0.455,NA,851,1402,1436,458,"MINW",1436
"GA-MinWeight_50_069.kp",0.575,0.582,0.342,838,937,1333,1404,460,"MINW",1404
"GA-MinWeight_50_070.kp",0.559,0.561,0.315,461,NA,1392,1446,452,"MINW",1446
"GA-MinWeight_50_071.kp",0.631,0.596,0.491,466,609,939,1012,384,"MINW",1012
"GA-MinWeight_50_072.kp",0.559,0.589,0.423,413,599,1256,1300,571,"MINW",1300
"GA-MinWeight_50_073.kp",0.56,0.615,0.33,423,1016,1511,1562,577,"MINW",1562
"GA-MinWeight_50_074.kp",0.469,0.598,0.494,912,938,1441,NA,416,"MAXPW",1441
"GA-MinWeight_50_075.kp",0.497,0.654,0.402,862,1197,1547,1612,435,"MINW",1612
"GA-MinWeight_50_076.kp",0.521,0.618,0.345,955,954,1680,1737,590,"MINW",1737
"GA-MinWeight_50_077.kp",0.609,0.558,0.318,NA,779,1151,1190,452,"MINW",1190
"GA-MinWeight_50_078.kp",0.578,0.581,0.352,876,839,1233,1259,447,"MINW",1259
"GA-MinWeight_50_079.kp",0.578,0.533,0.465,460,822,NA,1201,480,"MINW",1201
"GA-MinWeight_50_080.kp",0.571,0.538,0.501,503,887,1070,NA,401,"MAXPW",1070
"GA-MinWeight_50_081.kp",0.61,0.563,0.386,317,608,1011,1050,466,"MINW",1050
"GA-MinWeight_50_082.kp",0.571,0.628,0.328,911,981,1423,1485,604,"MINW",1485
"GA-MinWeight_50_083.kp",0.489,0.6,0.396,674,1246,1453,1516,601,"MINW",1516
"GA-MinWeight_50_084.kp",0.551,0.53,0.337,NA,1010,1409,1469,396,"MINW",1469
"GA-MinWeight_50_085.kp",0.514,0.589,0.408,765,1217,1559,1616,455,"MINW",1616
"GA-MinWeight_50_086.kp",0.544,0.605,0.4,NA,966,1483,1549,608,"MINW",1549
"GA-MinWeight_50_087.kp",0.554,0.521,0.318,585,900,1268,1320,576,"MINW",1320
"GA-MinWeight_50_088.kp",0.562,0.472,0.296,860,948,1449,1491,460,"MINW",1491
"GA-MinWeight_50_089.kp",0.604,0.599,0.475,450,610,935,966,593,"MINW",966
"GA-MinWeight_50_090.kp",0.575,0.597,0.429,925,1148,1431,1476,465,"MINW",1476
"GA-MinWeight_50_091.kp",0.607,0.593,0.435,656,612,1318,1390,571,"MINW",1390
"GA-MinWeight_50_092.kp",0.566,0.613,0.45,591,722,NA,1216,569,"MINW",1216
"GA-MinWeight_50_093.kp",0.545,0.526,0.471,644,785,1195,1244,491,"MINW",1244
"GA-MinWeight_50_094.kp",0.507,0.607,0.34,758,1077,NA,1530,445,"MINW",1530
"GA-MinWeight_50_095.kp",0.527,0.565,0.361,261,1119,1354,1393,396,"MINW",1393
"GA-MinWeight_50_096.kp",0.58,0.533,0.292,337,920,1230,1283,557,"MINW",1283
"GA-MinWeight_50_097.kp",0.573,0.571,0.403,613,844,1350,1391,NA,"MINW",1391
"GA-MinWeight_50_098.kp",0.559,0.476,0.36,701,942,1124,1186,386,"MINW",1186
"GA-MinWeight_50_099.kp",0.505,0.593,0.346,720,941,1456,1509,446,"MINW",1509
